id,Channel,Partner_Provided,UGC,Channel_id,Label,AssetChannelID,Label2,CMS,client_youtube_shares
961,Channel to be confirmed,VaibhaviAlekar,VaibhaviAlekarUGC,Channel to be confirmed,ALKR,Channel to be confirmed,ALKR,ND Kids,30
962,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,MMARIHASSG,Channel to be confirmed,MMARIHASSG,ND Kids,30
963,Channel to be confirmed,Radiant,RadiantUGC,Channel to be confirmed,RME,Channel to be confirmed,RME,ND Kids,30
964,Channel to be confirmed,Dateline,DatelineUGC,Channel to be confirmed,DAT,Channel to be confirmed,DAT,ND Kids,30
965,Channel to be confirmed,ArjunPandey,ArjunPandeyUGC,Channel to be confirmed,AJP,Channel to be confirmed,AJP,ND Kids,30
966,Channel to be confirmed,NDSPL,NDSPL UGC,Channel to be confirmed,Digizen,Channel to be confirmed,Digizen,ND Kids,30
967,Channel to be confirmed,Zithole,ZitholeUGC,Channel to be confirmed,ZIT,Channel to be confirmed,ZIT,ND Kids,30
968,Channel to be confirmed,MobileMedia,MobileMediaUGC,Channel to be confirmed,MMARIHAAT,Channel to be confirmed,MMARIHAAT,ND Kids,30
969,Channel to be confirmed,KFV-Jodi,KFV-JodiUGC,Channel to be confirmed,RAJO,Channel to be confirmed,RAJO,ND Kids,30
970,Channel to be confirmed,Anuvab,AnuvabUGC,Channel to be confirmed,NEV,Channel to be confirmed,NEV,ND Kids,30
971,Channel to be confirmed,DigiOsmosis,DigiOsmosisUGC,Channel to be confirmed,DIGISRE,Channel to be confirmed,DIGISRE,ND Kids,30
972,Channel to be confirmed,KFV-Match,KFV-MatchUGC,Channel to be confirmed,RAMM,Channel to be confirmed,RAMM,ND Kids,30
973,Channel to be confirmed,Digizenvisioncorp,DigizenvisioncorpUGC,Channel to be confirmed,DZVC,Channel to be confirmed,DZVC,ND Kids,30
974,Channel to be confirmed,DigitalDreams,DigitalDreamsUGC,Channel to be confirmed,C4B,Channel to be confirmed,C4B,ND Kids,30
975,Channel to be confirmed,MahmoodMatloob,MahmoodMatloobUGC,Channel to be confirmed,MAHM,Channel to be confirmed,MAHM,ND Kids,30
976,Channel to be confirmed,WAM,WAMUGC,Channel to be confirmed,WAM,Channel to be confirmed,WAM,ND Kids,30
977,Channel to be confirmed,ShivamEnt,ShivamEntUGC,Channel to be confirmed,SVEnt,Channel to be confirmed,SVEnt,ND Kids,30
978,Channel to be confirmed,YodaLearning,YodaLearningUGC,Channel to be confirmed,YODA,Channel to be confirmed,YODA,ND Kids,30
979,Channel to be confirmed,NDSPL,NDSPL UGC,Channel to be confirmed,NPA,Channel to be confirmed,NPA,ND Kids,30
980,Channel to be confirmed,MasalaMusicNepal,MasalaMusicNepalUGC,Channel to be confirmed,MMN,Channel to be confirmed,MMN,ND Kids,30
